nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
0,200,0.1,0.2,-6.470878287848589,-3.43698365421585,nan
1,200,0.1,0.2,-6.9985295158085865,-4.010175646169917,nan
2,200,0.1,0.2,47.573842078509294,0.9999825170066592,nan
0,100,0.1,0.1,-16.990378948392618,-49.007816793995154,nan
1,100,0.1,0.1,-18.357862380425306,-67.5150908675436,nan
2,100,0.1,0.1,-2.129081220273066,-0.6327065011099695,nan
0,200,0.1,0.1,-18.780619630994504,-74.51999683682091,nan
1,200,0.1,0.1,-17.92089710557665,-60.95690438778604,nan
2,200,0.1,0.1,-18.756553010691825,-74.10265686473268,nan
0,400,0.1,0.1,-18.808129875482283,-74.99989417401162,nan
1,400,0.1,0.1,9.16184564675548,0.878712670096192,nan
2,400,0.1,0.1,74.8222550631204,0.9999999670561392,nan
0,200,0.0,0.1,-18.80695281883567,-74.97929891828822,nan
1,200,0.0,0.1,-13.177560744700738,-19.785289341114193,nan
2,200,0.0,0.1,-5.42907875724807,-2.4906626229882933,nan
0,200,0.1,0.1,4.868348979433396,0.6740394048693465,nan
1,200,0.1,0.1,-17.410362535439145,-54.08536780269275,nan
2,200,0.1,0.1,-5.280454136543975,-2.373225802333373,nan
0,200,0.2,0.1,-18.55843168950015,-70.75351304631789,nan
1,200,0.2,0.1,-9.747610332486232,-8.435415579097917,nan
2,200,0.2,0.1,18.492616896409608,0.9858505906754502,nan
0,200,0.3,0.1,-16.85245249879667,-47.444586115542855,nan
1,200,0.3,0.1,-14.260793074050328,-25.673457095143036,nan
2,200,0.3,0.1,-15.956622541069457,-38.41506563580687,nan
0,200,0.1,0.0,-18.808135840827166,-74.99999856536591,nan
1,200,0.1,0.0,-17.65040190829508,-57.21570897280781,nan
2,200,0.1,0.0,-18.367385966768285,-67.66550156207119,nan
0,200,0.1,0.1,-9.082205292123454,-7.095068521112953,nan
1,200,0.1,0.1,-18.807746767537864,-74.99319022536403,nan
2,200,0.1,0.1,3.6715787380733955,0.570619689027198,nan
0,200,0.1,0.2,-18.80372675419954,-74.92288026156,nan
1,200,0.1,0.2,-15.242355754011745,-32.43763674205714,nan
2,200,0.1,0.2,-7.500679195110344,-4.624292768825144,nan
0,100,0.1,0.1,-1.336731757011904,-0.3604205252603492,nan
1,100,0.1,0.1,0.03211599066648567,0.0073677045454974,nan
2,100,0.1,0.1,-11.65481215309105,-13.637982220056223,nan
0,200,0.1,0.1,7.718695618169797,0.8309051276595902,nan
1,200,0.1,0.1,-18.601892659301175,-71.4751738728435,nan
2,200,0.1,0.1,-18.803712533033792,-74.92263164912268,nan
0,400,0.1,0.1,-18.808012535501227,-74.99784079639757,nan
1,400,0.1,0.1,-18.672517303735308,-72.66339493567148,nan
2,400,0.1,0.1,64.17372036205266,0.9999996175030612,nan
0,200,0.0,0.1,-18.759121622177826,-74.14708906776566,nan
1,200,0.0,0.1,-18.28080266833802,-66.31010481423544,nan
2,200,0.0,0.1,59.79945702314748,0.9999989527405265,nan
0,200,0.1,0.1,-18.501094292465826,-69.81241880662368,nan
1,200,0.1,0.1,-18.469314405376767,-69.29613388381753,nan
2,200,0.1,0.1,2.560291931027358,0.44541156750942323,nan
0,200,0.2,0.1,-18.08049459949033,-63.27609144521344,nan
1,200,0.2,0.1,-6.460903604841991,-3.4268046807661,nan
2,200,0.2,0.1,-13.591859191794036,-21.86577465645461,nan
0,200,0.3,0.1,-7.883808674003409,-5.143004980107239,nan
1,200,0.3,0.1,-0.3186571947555621,-0.07613243028778993,nan
2,200,0.3,0.1,99.60979842496114,0.9999999998905993,nan
0,200,0.1,0.0,-18.808135922743343,-74.99999999887004,nan
1,200,0.1,0.0,-18.802372609282724,-74.89921094040089,nan
2,200,0.1,0.0,-13.654283846399231,-22.196816374589908,nan
0,200,0.1,0.1,-18.13158567232643,-64.03671054891245,nan
1,200,0.1,0.1,-10.926161406052028,-11.377021364754489,nan
2,200,0.1,0.1,-17.763323299796,-58.74923236099768,nan
0,200,0.1,0.2,-11.850620674061618,-14.31306293424802,nan
1,200,0.1,0.2,-9.282343774358898,-7.476847641384838,nan
2,200,0.1,0.2,42.13333718127802,0.9999388119966388,nan
0,100,0.1,0.1,12.263176481235522,0.9406142354778667,nan
1,100,0.1,0.1,-17.125044812068623,-50.58274875386223,nan
2,100,0.1,0.1,-7.539891218103197,-4.6753038975348735,nan
0,200,0.1,0.1,11.885805743093002,0.9352232095743659,nan
1,200,0.1,0.1,-18.79757947435761,-74.81549021756635,nan
2,200,0.1,0.1,-18.645309112875495,-72.20334244614037,nan
0,400,0.1,0.1,-16.936114358028973,-48.38686239501936,nan
1,400,0.1,0.1,-17.521341624563153,-55.511152236845284,nan
2,400,0.1,0.1,24.86212203503579,0.9967357170509221,nan
0,200,0.0,0.1,-14.489847753582408,-27.118022580379726,nan
